title	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Psal_000078	0.3163	0.2121	0.2758	0.3469	0.164	-0.117	0.37	51.11	0.48	0.576	589	597	-0.541039	0.061977
Psal_000079	0.2403	0.4721	0.2441	0.252	0.226	0.159	0.496	54.18	0.594	0.512	530	548	-0.018613	0.091241
Psal_000080	0.3099	0.4219	0.2603	0.2483	0.233	0.094	0.469	56.78	0.538	0.501	435	456	-0.277412	0.111842
Psal_000081	0.2281	0.4642	0.256	0.2623	0.218	0.149	0.484	56.9	0.599	0.51	426	440	0.024318	0.095455
Psal_000082	0.2635	0.4502	0.247	0.2358	0.209	0.085	0.453	54	0.571	0.514	539	564	-0.067199	0.088652
Psal_000083	0.2695	0.4199	0.2863	0.2363	0.228	0.132	0.483	56.65	0.54	0.501	582	609	-0.010837	0.098522
Psal_000084	0.3017	0.3698	0.2574	0.3246	0.246	0.106	0.48	57.9	0.549	0.513	525	539	-0.51577	0.051948
Psal_000085	0.2913	0.3786	0.2279	0.3759	0.237	0.112	0.488	56.07	0.588	0.531	541	558	-0.734946	0.048387
Psal_000086	0.2971	0.3607	0.2659	0.3446	0.219	0.013	0.424	58.44	0.549	0.491	490	501	-0.348902	0.0499
Psal_000087	0.2609	0.3246	0.2633	0.4433	0.205	-0.061	0.386	61	0.591	0.52	487	497	-0.846881	0.032193
Psal_000088	0.3228	0.3701	0.1966	0.2545	0.202	0.064	0.424	50.43	0.54	0.508	139	143	0.515385	0.083916
Psal_000089	0.3483	0.2959	0.2591	0.3536	0.236	-0.027	0.426	57.18	0.512	0.485	336	353	-0.639377	0.07932
Psal_000090	0.375	0.4265	0.2619	0.2778	0.307	0.151	0.531	57.81	0.525	0.523	177	181	-1.806077	0.022099
Psal_000091	0.3304	0.3639	0.2724	0.2586	0.206	0.01	0.422	58.07	0.503	0.499	798	825	-0.301576	0.081212
Psal_000092	0.2918	0.3664	0.2401	0.3203	0.208	0.018	0.422	58.82	0.557	0.53	1045	1084	-0.326937	0.068266
Psal_000093	0.292	0.3451	0.2188	0.3689	0.195	-0.028	0.372	59.7	0.572	0.524	269	280	0.003214	0.071429
Psal_000094	0.3423	0.3514	0.2596	0.2626	0.16	0	0.4	58.88	0.5	0.523	130	137	-0.193431	0.10219
Psal_000095	0.3613	0.3361	0.2237	0.2718	0.209	0.08	0.45	55.64	0.502	0.509	271	281	-0.20605	0.064057
Psal_000096	0.3128	0.3934	0.2396	0.2939	0.219	0.055	0.437	59.28	0.547	0.519	481	517	-0.334623	0.108317
Psal_000097	0.3576	0.3513	0.2583	0.25	0.182	-0.045	0.373	53.56	0.487	0.492	357	374	-0.159091	0.072193
Psal_000098	0.2435	0.513	0.2051	0.2957	0.239	0.15	0.497	45.82	0.641	0.604	145	148	-1.077703	0.02027
Psal_000099	0.3485	0.3691	0.2629	0.298	0.237	0.057	0.453	56.87	0.514	0.495	877	917	-0.515267	0.097056
Psal_000100	0.3708	0.3596	0.3077	0.2442	0.207	0.005	0.421	59.65	0.465	0.469	114	120	-0.620833	0.075
Psal_000101	0.3305	0.3433	0.2951	0.2558	0.171	-0.04	0.386	57.62	0.482	0.491	542	563	-0.215453	0.071048
Psal_000102	0.2258	0.3978	0.2165	0.4362	0.222	0.148	0.5	54.92	0.65	0.532	120	131	-0.674046	0.076336
Psal_000103	0.2389	0.336	0.2591	0.451	0.212	0.011	0.427	58.42	0.607	0.521	349	361	-0.814959	0.030471
Psal_000104	0.302	0.4362	0.2295	0.2734	0.235	0.096	0.478	51.8	0.564	0.513	360	381	-0.214436	0.097113
Psal_000105	0.2932	0.3233	0.2797	0.2407	0.147	0.027	0.397	61	0.489	0.544	141	144	0.130556	0.069444
Psal_000106	0.3378	0.3311	0.303	0.2083	0.225	0.126	0.482	50.23	0.451	0.48	164	170	0.001765	0.064706
Psal_000107	0.3115	0.4262	0.25	0.2143	0.259	0.128	0.5	56.24	0.534	0.54	208	215	-0.393488	0.069767
Psal_000108	0.2814	0.3293	0.3171	0.3072	0.2	0.07	0.458	61	0.507	0.512	201	207	-0.729469	0.077295
Psal_000109	0.3404	0.3404	0.1957	0.2326	0.179	0.104	0.451	*****	0.51	0.524	51	56	0.405357	0.053571
Psal_000110	0.3363	0.2996	0.2806	0.3455	0.219	0.002	0.421	59.08	0.505	0.513	874	913	-0.57919	0.067908
Psal_000111	0.3166	0.3092	0.2623	0.3368	0.197	0.02	0.432	60.11	0.523	0.53	828	849	-0.91649	0.042403
Psal_000112	0.3087	0.3214	0.3205	0.277	0.196	0.014	0.428	59.35	0.484	0.53	558	572	-0.916084	0.052448
Psal_000113	0.2721	0.3885	0.2495	0.3117	0.223	0.119	0.48	58.22	0.566	0.508	673	699	0.14535	0.124464
Psal_000114	0.2687	0.4104	0.2906	0.1518	0.245	0.091	0.465	49.86	0.507	0.556	142	145	-0.074483	0.082759
Psal_000115	0.2287	0.3481	0.3895	0.3167	0.203	-0.01	0.407	60.26	0.51	0.474	349	367	-0.155313	0.098093
Psal_000116	0.2295	0.3493	0.3925	0.3151	0.204	-0.008	0.408	59.69	0.509	0.472	348	367	-0.129155	0.098093
Psal_000117	0.3313	0.2573	0.297	0.3344	0.178	-0.064	0.378	58.9	0.481	0.515	792	815	-0.90773	0.035583
Psal_000118	0.2772	0.3895	0.298	0.29	0.208	0.065	0.455	55.31	0.533	0.507	321	338	-0.193491	0.088757
Psal_000119	0.2578	0.3902	0.2471	0.2974	0.199	0.059	0.434	60.3	0.569	0.513	318	335	0.411642	0.116418
Psal_000120	0.3236	0.3333	0.2734	0.278	0.21	0.021	0.414	59.86	0.496	0.483	343	360	0.3025	0.119444
Psal_000121	0.3141	0.3547	0.2141	0.2885	0.218	0.057	0.441	61	0.539	0.517	503	531	0.608474	0.126177
Psal_000122	0.3066	0.4097	0.198	0.2948	0.224	0.066	0.46	57.07	0.574	0.521	387	404	-0.241832	0.106436
Psal_000123	0.2988	0.3354	0.2829	0.2993	0.193	-0.045	0.398	60.73	0.518	0.514	191	203	-0.261576	0.08867
Psal_000124	0.2733	0.4422	0.2258	0.2818	0.198	0.069	0.441	55.52	0.584	0.516	515	539	0.006679	0.100186
Psal_000125	0.2642	0.4093	0.1967	0.3488	0.214	0.05	0.442	54.45	0.615	0.553	226	232	-0.340517	0.086207
Psal_000126	0.3402	0.3814	0.1789	0.2735	0.248	0.139	0.486	56.98	0.546	0.498	315	324	0.638272	0.108025
Psal_000127	0.331	0.3931	0.2177	0.2377	0.241	0.089	0.454	58.07	0.527	0.498	317	326	0.614724	0.110429
Psal_000128	0.275	0.4125	0.2507	0.3015	0.247	0.14	0.497	58.06	0.568	0.515	463	480	-0.099792	0.102083
Psal_000129	0.3227	0.3794	0.2251	0.2396	0.205	0.088	0.454	57.99	0.526	0.493	302	315	0.566349	0.133333
Psal_000130	0.2773	0.3908	0.2464	0.2796	0.189	0.034	0.42	61	0.553	0.489	262	270	0.642593	0.111111
Psal_000131	0.32	0.3933	0.1395	0.275	0.204	0.107	0.468	54.61	0.582	0.552	158	163	0.209202	0.092025
Psal_000132	0.263	0.3921	0.2725	0.3122	0.226	0.037	0.442	56.37	0.565	0.538	480	500	-0.354	0.076
Psal_000133	0.3551	0.3816	0.2029	0.2468	0.218	0.049	0.446	57.43	0.521	0.515	451	482	0.221162	0.149378
Psal_000134	0.3036	0.4345	0.2432	0.2015	0.219	0.149	0.497	57.94	0.535	0.524	187	198	-0.064141	0.085859
Psal_000135	0.3684	0.2807	0.3333	0.1875	0.236	0.094	0.476	61	0.397	0.527	63	67	-0.462687	0.104478
Psal_000136	0.3056	0.3229	0.3169	0.2731	0.183	0.016	0.425	60.3	0.484	0.511	320	329	-0.290274	0.097264
Psal_000137	0.2949	0.3991	0.2569	0.2917	0.229	0.069	0.458	57.46	0.548	0.513	520	546	-0.281319	0.117216
Psal_000138	0.2888	0.3786	0.2313	0.3203	0.214	0.046	0.437	57.32	0.565	0.509	524	549	0.295264	0.125683
Psal_000139	0.2857	0.3417	0.2415	0.2955	0.202	0.076	0.466	61	0.542	0.555	393	404	-0.256683	0.074257
Psal_000140	0.273	0.4078	0.2393	0.2844	0.197	0.03	0.412	60.85	0.568	0.486	308	321	0.739564	0.143302
Psal_000141	0.3197	0.2999	0.2924	0.2783	0.178	-0.011	0.41	59.19	0.48	0.548	897	912	-0.945395	0.037281
Psal_000142	0.2599	0.3011	0.2634	0.3687	0.18	-0.039	0.403	57.95	0.556	0.551	735	764	-0.773298	0.049738
Psal_000143	0.3514	0.4378	0.2169	0.2051	0.242	0.102	0.467	50.12	0.528	0.526	214	221	-0.11267	0.076923
Psal_000144	0.2473	0.5	0.2395	0.2403	0.276	0.221	0.549	52.23	0.601	0.54	213	218	-0.161009	0.087156
Psal_000145	0.3411	0.3609	0.2321	0.2651	0.21	0.059	0.438	57.9	0.512	0.471	324	336	0.531548	0.136905
Psal_000146	0.3208	0.4027	0.2358	0.2523	0.222	0.084	0.458	59.73	0.532	0.477	325	346	0.382948	0.124277
Psal_000147	0.3548	0.3514	0.2184	0.2849	0.227	0.071	0.452	56.01	0.517	0.506	1347	1392	0.030172	0.088362
Psal_000149	0.3357	0.3054	0.283	0.3102	0.228	0.061	0.457	59.87	0.492	0.535	874	914	-0.486324	0.056893
Psal_000150	0.367	0.3761	0.2705	0.2464	0.241	0.089	0.478	53.58	0.491	0.513	391	406	-0.912808	0.066502
Psal_000151	0.3414	0.3642	0.2733	0.2365	0.219	0.013	0.426	56.27	0.488	0.491	852	880	0.024204	0.0875
Psal_000152	0.2827	0.3753	0.2655	0.306	0.195	0.079	0.449	60.54	0.545	0.502	468	488	-0.248975	0.088115
Psal_000153	0.3558	0.4	0.1875	0.3129	0.254	0.073	0.47	55.44	0.557	0.523	451	465	-0.777849	0.062366
Psal_000154	0.3308	0.3728	0.2795	0.2693	0.208	0.019	0.424	55.6	0.505	0.509	918	947	-0.382365	0.098205
Psal_000155	0.3598	0.374	0.2086	0.279	0.222	0.039	0.439	55.06	0.53	0.551	583	593	-1.025632	0.052277
Psal_000156	0.3056	0.3681	0.2761	0.2727	0.218	0.103	0.467	59.74	0.515	0.52	167	175	-0.369714	0.074286
Psal_000157	0.3511	0.36	0.2189	0.2606	0.179	-0.055	0.364	52.68	0.514	0.519	253	261	-0.137548	0.08046
Psal_000158	0.3005	0.3243	0.2824	0.3116	0.192	-0.019	0.411	59.72	0.515	0.527	740	767	-0.495828	0.054759
Psal_000159	0.4727	0.3273	0.1489	0.2683	0.275	-0.025	0.403	49.16	0.468	0.467	62	65	0.173846	0.092308
Psal_000160	0.3184	0.3988	0.2334	0.2766	0.245	0.07	0.463	56.2	0.544	0.518	761	796	-0.223995	0.089196
Psal_000161	0.2705	0.3587	0.2635	0.2879	0.18	0.002	0.407	57.1	0.542	0.508	354	365	0.244658	0.09589
Psal_000162	0.3263	0.3302	0.2614	0.2427	0.196	0.066	0.439	60.6	0.486	0.512	578	605	0.300165	0.094215
Psal_000163	0.3065	0.3065	0.2931	0.1754	0.171	0.004	0.4	58.37	0.446	0.552	65	67	-0.01194	0.029851
Psal_000164	0.2027	0.3243	0.4255	0.3034	0.245	0.09	0.491	60.88	0.481	0.497	106	108	-1.193519	0.027778
Psal_000165	0.3537	0.3265	0.2343	0.2929	0.202	0.016	0.419	58.15	0.506	0.524	504	517	-0.359768	0.075435
Psal_000166	0.2617	0.3711	0.272	0.249	0.209	0.085	0.457	53.49	0.536	0.564	291	296	-0.265203	0.037162
Psal_000167	0.2176	0.5059	0.245	0.2044	0.257	0.196	0.527	52.48	0.606	0.546	188	196	-0.056122	0.102041
Psal_000168	0.3182	0.4256	0.226	0.2995	0.261	0.135	0.497	57.64	0.566	0.502	286	297	-0.348485	0.114478
Psal_000169	0.3439	0.3794	0.2124	0.2935	0.24	0.078	0.459	53.81	0.534	0.495	290	303	-0.042904	0.09901
Psal_000171	0.3436	0.3341	0.2257	0.2465	0.198	0.06	0.434	60.97	0.497	0.519	459	480	0.436458	0.091667
Psal_000173	0.2893	0.405	0.2768	0.2775	0.207	0.046	0.444	56.63	0.542	0.517	288	300	-0.165333	0.113333
Psal_000174	0.2991	0.3889	0.2457	0.3143	0.239	0.084	0.468	58.16	0.553	0.519	284	295	0.002373	0.091525
Psal_000175	0.2817	0.3521	0.2481	0.3615	0.202	0.014	0.435	61	0.571	0.542	170	174	-0.368966	0.109195
Psal_000176	0.3626	0.4176	0.2875	0.2297	0.238	0.052	0.468	61	0.495	0.469	111	113	-0.430089	0.141593
Psal_000177	0.3231	0.3096	0.2949	0.2919	0.189	-0.009	0.419	60.54	0.49	0.535	645	654	-1.087156	0.029052
Psal_000178	0.2962	0.377	0.2579	0.3043	0.216	0.079	0.456	56.56	0.546	0.535	667	693	-0.479221	0.062049
Psal_000179	0.3435	0.4304	0.2293	0.227	0.22	0.069	0.446	53.78	0.528	0.512	267	280	-0.3	0.114286
Psal_000180	0.3188	0.354	0.2534	0.2298	0.193	0.06	0.437	57.33	0.499	0.519	531	558	0.385842	0.094982
Psal_000181	0.3448	0.3879	0.2584	0.25	0.229	0.065	0.444	60.26	0.504	0.503	270	286	-0.249301	0.122378
Psal_000182	0.3343	0.2343	0.3006	0.3701	0.2	-0.042	0.394	61	0.477	0.51	411	433	-0.375289	0.071594
Psal_000184	0.2971	0.2171	0.3138	0.3743	0.133	-0.186	0.296	56.87	0.486	0.519	216	223	-0.656054	0.044843
Psal_000185	0.3069	0.3757	0.2148	0.3381	0.215	0.045	0.45	57.67	0.569	0.542	874	930	-0.380645	0.096774
Psal_000186	0.2951	0.3566	0.2769	0.2699	0.252	0.108	0.481	59.04	0.516	0.507	287	298	0.10604	0.104027
Psal_000187	0.2911	0.4684	0.1956	0.2269	0.262	0.168	0.52	50.74	0.588	0.55	352	367	-0.219073	0.122616
Psal_000188	0.2958	0.425	0.2463	0.3005	0.272	0.104	0.491	59.34	0.569	0.535	281	297	-0.572391	0.097643
Psal_000189	0.3436	0.3963	0.2217	0.2362	0.231	0.071	0.452	53.43	0.522	0.512	1342	1401	-0.035903	0.035689
Psal_000190	0.2759	0.3966	0.3087	0.2222	0.213	0.096	0.461	53.9	0.513	0.485	193	198	-0.009091	0.070707
Psal_000191	0.287	0.4481	0.222	0.2717	0.222	0.08	0.464	52.49	0.578	0.526	524	542	-0.352214	0.073801
Psal_000192	0.3013	0.4	0.2722	0.2375	0.215	0.111	0.474	56.78	0.519	0.517	445	468	0.023077	0.083333
Psal_000193	0.378	0.3197	0.2566	0.2775	0.227	0.071	0.456	57.38	0.48	0.514	561	585	-0.820171	0.054701
Psal_000194	0.2963	0.3981	0.2871	0.2458	0.213	0.063	0.456	61	0.516	0.496	252	262	-0.196947	0.080153
Psal_000195	0.3145	0.3559	0.2433	0.2958	0.22	0.076	0.458	57.23	0.533	0.543	839	870	-0.649195	0.075862
Psal_000196	0.315	0.475	0.1867	0.1728	0.285	0.197	0.535	51.14	0.563	0.526	430	464	0.478879	0.146552
Psal_000197	0.3425	0.3653	0.2143	0.2849	0.221	0.061	0.45	58.55	0.531	0.533	493	508	-0.308858	0.088583
Psal_000198	0.3265	0.3402	0.2461	0.2419	0.185	0.044	0.432	59.71	0.494	0.508	468	491	0.553971	0.114053
Psal_000199	0.2884	0.3283	0.2718	0.3399	0.171	-0.052	0.378	60.01	0.537	0.539	611	625	-0.61728	0.0448
Psal_000200	0.292	0.4315	0.2882	0.2413	0.228	0.033	0.449	55.16	0.535	0.519	454	469	-0.43774	0.104478
Psal_000201	0.3477	0.332	0.2523	0.2273	0.172	-0.02	0.401	59.57	0.474	0.508	274	287	-0.097909	0.097561
Psal_000202	0.3	0.35	0.2952	0.3436	0.211	0.027	0.438	57.15	0.533	0.524	1010	1033	-0.980252	0.028074
Psal_000203	0.2941	0.3894	0.2737	0.2404	0.207	0.114	0.468	57.29	0.52	0.527	423	435	-0.14023	0.068966
Psal_000204	0.3364	0.3585	0.2696	0.2776	0.204	0.059	0.447	58.58	0.505	0.512	655	675	-0.743407	0.056296
Psal_000205	0.3179	0.3679	0.2579	0.3106	0.202	0.022	0.427	61	0.533	0.512	330	347	-0.187032	0.100865
Psal_000206	0.2784	0.5294	0.1545	0.3385	0.273	0.095	0.484	47.99	0.657	0.515	306	329	-0.114894	0.176292
Psal_000207	0.2711	0.3735	0.311	0.2566	0.229	0.086	0.462	55.19	0.513	0.498	197	202	-0.180198	0.069307
Psal_000208	0.3133	0.3633	0.2242	0.3095	0.213	0.017	0.427	61	0.544	0.531	344	358	0.157542	0.055866
Psal_000209	0.3191	0.3708	0.2646	0.2646	0.201	0.032	0.435	58.82	0.514	0.491	506	527	-0.078558	0.127135
Psal_000210	0.3025	0.4108	0.2333	0.2702	0.212	0.045	0.442	57.13	0.554	0.506	504	528	-0.019887	0.130682
Psal_000211	0.3096	0.3515	0.319	0.2297	0.207	0.067	0.457	58.24	0.471	0.505	280	290	-0.086207	0.068966
Psal_000212	0.2667	0.3444	0.2105	0.3472	0.15	0.074	0.438	52.91	0.583	0.548	96	98	-0.704082	0.091837
Psal_000213	0.3662	0.2817	0.2329	0.3333	0.202	0.01	0.43	54.64	0.5	0.547	86	92	0.141304	0.032609
Psal_000214	0.3043	0.3732	0.1953	0.2964	0.245	0.131	0.5	55.71	0.571	0.558	312	319	-0.715987	0.075235
Psal_000215	0.3122	0.3185	0.2581	0.3388	0.217	0.078	0.46	58.9	0.525	0.508	871	904	-0.135288	0.11615
Psal_000216	0.3414	0.3668	0.252	0.2702	0.208	0.014	0.427	58.4	0.511	0.498	837	873	-0.173311	0.124857
Psal_000217	0.2475	0.4225	0.1836	0.3477	0.168	0.032	0.408	56.68	0.632	0.548	446	463	-0.057883	0.069114
