GC1	GC2	GC3	GC	CAI	CBI	Fop	Nc	Gravy	Aromo
46.61	45.2	53.67	48.49	0.236	-0.027	0.426	57.18	-0.639377	0.07932
64.29	38.46	53.3	52.01	0.307	0.151	0.531	57.81	-1.806077	0.022099
52.66	44.92	51.82	49.8	0.206	0.01	0.422	58.07	-0.301576	0.081212
55.76	45.9	57.24	52.96	0.208	0.018	0.422	58.82	-0.326937	0.068266
58.01	40.21	58.72	52.31	0.195	-0.028	0.372	59.7	0.003214	0.071429
59.42	44.2	52.17	51.93	0.16	0.0	0.4	58.88	-0.193431	0.10219
54.61	46.1	51.77	50.83	0.209	0.08	0.45	55.64	-0.20605	0.064057
53.67	44.02	57.92	51.87	0.219	0.055	0.437	59.28	-0.334623	0.108317
52.8	43.73	50.93	49.16	0.182	-0.045	0.373	53.56	-0.159091	0.072193
73.83	41.61	64.43	59.96	0.239	0.15	0.497	45.82	-1.077703	0.02027
54.03	40.85	53.49	49.46	0.237	0.057	0.453	56.87	-0.515267	0.097056
54.55	37.19	48.76	46.83	0.207	0.005	0.421	59.65	-0.620833	0.075
55.32	41.84	50.0	49.05	0.171	-0.04	0.386	57.62	-0.215453	0.071048
53.79	37.12	67.42	52.78	0.222	0.148	0.5	54.92	-0.674046	0.076336
57.18	36.74	61.88	51.93	0.212	0.011	0.427	58.42	-0.814959	0.030471
53.4	41.36	58.9	51.22	0.235	0.096	0.478	51.8	-0.214436	0.097113
60.0	52.41	49.66	54.02	0.147	0.027	0.397	61	0.130556	0.069444
50.29	46.78	46.78	47.95	0.225	0.126	0.482	50.23	0.001765	0.064706
53.7	52.78	54.63	53.7	0.259	0.128	0.5	56.24	-0.393488	0.069767
53.37	48.08	51.92	51.12	0.2	0.07	0.458	61	-0.729469	0.077295
49.12	50.88	54.39	51.46	0.179	0.104	0.451	*****	0.405357	0.053571
58.97	42.12	52.52	51.2	0.219	0.002	0.421	59.08	-0.57919	0.067908
56.35	49.29	53.41	53.02	0.197	0.02	0.432	60.11	-0.91649	0.042403
58.46	50.96	49.56	53.0	0.196	0.014	0.428	59.35	-0.916084	0.052448
50.71	43.43	58.14	50.76	0.223	0.119	0.48	58.22	0.14535	0.124464
52.05	62.33	52.05	55.48	0.245	0.091	0.465	49.86	-0.074483	0.082759
52.72	36.14	53.26	47.37	0.203	-0.01	0.407	60.26	-0.155313	0.098093
52.45	35.87	53.26	47.19	0.204	-0.008	0.408	59.69	-0.129155	0.098093
55.76	49.14	49.51	51.47	0.178	-0.064	0.378	58.9	-0.90773	0.035583
54.28	41.89	55.46	50.54	0.208	0.065	0.455	55.31	-0.193491	0.088757
52.08	42.86	58.93	51.29	0.199	0.059	0.434	60.3	0.411642	0.116418
52.35	40.44	52.08	48.29	0.21	0.021	0.414	59.86	0.3025	0.119444
53.57	45.3	56.2	51.69	0.218	0.057	0.441	61	0.608474	0.126177
50.37	46.67	59.26	52.1	0.224	0.066	0.46	57.07	-0.241832	0.106436
50.0	49.51	54.41	51.31	0.193	-0.045	0.398	60.73	-0.261576	0.08867
54.26	40.0	60.37	51.54	0.198	0.069	0.441	55.52	0.006679	0.100186
55.36	48.07	62.23	55.22	0.214	0.05	0.442	54.45	-0.340517	0.086207
52.92	40.31	55.69	49.64	0.248	0.139	0.486	56.98	0.638272	0.108025
55.96	39.14	54.13	49.75	0.241	0.089	0.454	58.07	0.614724	0.110429
53.64	42.62	58.21	51.49	0.247	0.14	0.497	58.06	-0.099792	0.102083
50.63	42.72	54.43	49.26	0.205	0.088	0.454	57.99	0.566349	0.133333
49.82	39.85	56.46	48.71	0.189	0.034	0.42	61	0.642593	0.111111
54.88	50.61	59.76	55.08	0.204	0.107	0.468	54.61	0.209202	0.092025
62.08	40.92	58.28	53.76	0.226	0.037	0.442	56.37	-0.354	0.076
54.66	44.51	55.07	51.41	0.218	0.049	0.446	57.43	0.221162	0.149378
53.77	47.24	55.78	52.26	0.219	0.149	0.497	57.94	-0.064141	0.085859
54.41	60.29	42.65	52.45	0.236	0.094	0.476	61	-0.462687	0.104478
50.61	52.42	49.7	50.91	0.183	0.016	0.425	60.3	-0.290274	0.097264
53.56	43.33	56.86	51.25	0.229	0.069	0.458	57.46	-0.281319	0.117216
52.73	41.45	58.55	50.91	0.214	0.046	0.437	57.32	0.295264	0.125683
55.56	55.31	55.31	55.39	0.202	0.076	0.466	61	-0.256683	0.074257
50.93	36.02	58.39	48.45	0.197	0.03	0.412	60.85	0.739564	0.143302
60.24	54.98	48.96	54.73	0.178	-0.011	0.41	59.19	-0.945395	0.037281
54.25	53.46	57.25	54.99	0.18	-0.039	0.403	57.95	-0.773298	0.049738
63.51	40.09	54.05	52.55	0.242	0.102	0.467	50.12	-0.11267	0.076923
55.71	44.75	60.73	53.73	0.276	0.221	0.549	52.23	-0.161009	0.087156
48.37	40.06	52.82	47.08	0.21	0.059	0.438	57.9	0.531548	0.136905
47.55	39.48	55.91	47.65	0.222	0.084	0.458	59.73	0.382948	0.124277
56.57	41.85	53.27	50.56	0.227	0.071	0.452	56.01	0.030172	0.088362
62.19	46.67	51.48	53.44	0.228	0.061	0.457	59.87	-0.486324	0.056893
61.67	41.03	51.11	51.27	0.241	0.089	0.478	53.58	-0.912808	0.066502
53.8	43.02	50.4	49.07	0.219	0.013	0.426	56.27	0.024204	0.0875
51.74	42.54	56.24	50.17	0.195	0.079	0.449	60.54	-0.248975	0.088115
56.44	43.35	57.08	52.29	0.254	0.073	0.47	55.44	-0.777849	0.062366
59.81	40.72	52.0	50.84	0.208	0.019	0.424	55.6	-0.382365	0.098205
62.79	48.82	53.7	55.11	0.222	0.039	0.439	55.06	-1.025632	0.052277
57.95	43.75	53.98	51.89	0.218	0.103	0.467	59.74	-0.369714	0.074286
59.16	43.13	52.67	51.65	0.179	-0.055	0.364	52.68	-0.137548	0.08046
57.55	47.4	53.12	52.69	0.192	-0.019	0.411	59.72	-0.495828	0.054759
51.52	37.88	48.48	45.96	0.275	-0.025	0.403	49.16	0.173846	0.092308
56.34	42.41	56.34	51.69	0.245	0.07	0.463	56.2	-0.223995	0.089196
51.09	45.63	55.46	50.73	0.18	0.002	0.407	57.1	0.244658	0.09589
55.61	47.03	50.83	51.16	0.196	0.066	0.439	60.6	0.300165	0.094215
55.88	63.24	45.59	54.9	0.171	0.004	0.4	58.37	-0.01194	0.029851
54.13	45.87	48.62	49.54	0.245	0.09	0.491	60.88	-1.193519	0.027778
61.39	43.63	51.93	52.32	0.202	0.016	0.419	58.15	-0.359768	0.075435
58.92	55.89	54.21	56.34	0.209	0.085	0.457	53.49	-0.265203	0.037162
51.78	49.24	61.93	54.31	0.257	0.196	0.527	52.48	-0.056122	0.102041
54.36	37.58	58.39	50.11	0.261	0.135	0.497	57.64	-0.348485	0.114478
51.97	40.79	55.59	49.45	0.24	0.078	0.459	53.81	-0.042904	0.09901
56.34	47.4	51.98	51.91	0.198	0.06	0.434	60.97	0.436458	0.091667
58.14	40.53	55.81	51.5	0.207	0.046	0.444	56.63	-0.165333	0.113333
58.11	40.2	56.76	51.69	0.239	0.084	0.468	58.16	0.002373	0.091525
58.86	45.14	58.29	54.1	0.202	0.014	0.435	61	-0.368966	0.109195
53.51	35.96	50.0	46.49	0.238	0.052	0.468	61	-0.430089	0.141593
59.69	50.99	49.62	53.44	0.189	-0.009	0.419	60.54	-1.087156	0.029052
60.23	43.8	56.34	53.46	0.216	0.079	0.456	56.56	-0.479221	0.062049
56.23	41.99	55.16	51.13	0.22	0.069	0.446	53.78	-0.3	0.114286
55.81	47.23	52.24	51.76	0.193	0.06	0.437	57.33	0.385842	0.094982
56.79	40.77	53.31	50.29	0.229	0.065	0.444	60.26	-0.249301	0.122378
56.68	45.62	50.23	50.84	0.2	-0.042	0.394	61	-0.375289	0.071594
57.59	47.32	50.45	51.79	0.133	-0.186	0.296	56.87	-0.656054	0.044843
56.71	46.4	59.4	54.17	0.215	0.045	0.45	57.67	-0.380645	0.096774
52.84	45.48	53.51	50.61	0.252	0.108	0.481	59.04	0.10604	0.104027
52.72	51.36	60.33	54.8	0.262	0.168	0.52	50.74	-0.219073	0.122616
54.36	46.64	59.4	53.47	0.272	0.104	0.491	59.34	-0.572391	0.097643
57.56	41.87	54.14	51.19	0.231	0.071	0.452	53.43	-0.035903	0.035689
49.25	43.72	52.26	48.41	0.213	0.096	0.461	53.9	-0.009091	0.070707
54.7	43.65	59.3	52.55	0.222	0.08	0.464	52.49	-0.352214	0.073801
57.36	43.28	54.37	51.67	0.215	0.111	0.474	56.78	0.023077	0.083333
57.0	46.93	50.17	51.37	0.227	0.071	0.456	57.38	-0.820171	0.054701
50.19	45.25	53.23	49.56	0.213	0.063	0.456	61	-0.196947	0.080153
57.98	49.71	54.88	54.19	0.22	0.076	0.458	57.23	-0.649195	0.075862
52.47	45.59	59.35	52.47	0.285	0.197	0.535	51.14	0.478879	0.146552
59.72	45.38	54.62	53.24	0.221	0.061	0.45	58.55	-0.308858	0.088583
52.64	47.97	51.83	50.81	0.185	0.044	0.432	59.71	0.553971	0.114053
59.74	47.12	54.63	53.83	0.171	-0.052	0.378	60.01	-0.61728	0.0448
58.09	42.34	55.11	51.84	0.228	0.033	0.449	55.16	-0.43774	0.104478
49.65	52.43	49.65	50.58	0.172	-0.02	0.401	59.57	-0.097909	0.097561
65.47	37.23	54.26	52.32	0.211	0.027	0.438	57.15	-0.980252	0.028074
61.24	43.58	53.21	52.68	0.207	0.114	0.468	57.29	-0.14023	0.068966
58.14	43.2	51.92	51.08	0.204	0.059	0.447	58.58	-0.743407	0.056296
55.17	42.53	55.46	51.05	0.202	0.022	0.427	61	-0.187032	0.100865
48.48	37.58	67.88	51.31	0.273	0.095	0.484	47.99	-0.114894	0.176292
51.72	44.83	52.22	49.59	0.229	0.086	0.462	55.19	-0.180198	0.069307
57.94	44.85	56.27	53.02	0.213	0.017	0.427	61	0.157542	0.055866
50.57	43.37	53.22	49.05	0.201	0.032	0.435	58.82	-0.078558	0.127135
51.04	43.29	57.28	50.54	0.212	0.045	0.442	57.13	-0.019887	0.130682
56.7	45.36	48.8	50.29	0.207	0.067	0.457	58.24	-0.086207	0.068966
50.51	53.54	59.6	54.55	0.15	0.074	0.438	52.91	-0.704082	0.091837
62.37	47.31	52.69	54.12	0.202	0.01	0.43	54.64	0.141304	0.032609
51.25	57.81	57.81	55.62	0.245	0.131	0.5	55.71	-0.715987	0.075235
53.92	44.31	54.14	50.79	0.217	0.078	0.46	58.9	-0.135288	0.11615
54.35	41.65	53.2	49.73	0.208	0.014	0.427	58.4	-0.173311	0.124857
56.9	42.89	64.44	54.74	0.168	0.032	0.408	56.68	-0.057883	0.069114
53.69	39.41	59.61	50.9	0.278	0.149	0.518	55.26	-0.785149	0.108911
52.83	38.68	56.6	49.37	0.213	0.039	0.451	57.84	-0.474286	0.114286
60.61	49.2	49.2	53.01	0.213	0.033	0.44	56.38	-0.928624	0.035627
54.2	46.7	51.8	50.9	0.191	0.049	0.435	58.51	0.315789	0.094737
56.09	45.35	57.4	52.95	0.228	0.044	0.443	56.87	-0.37126	0.087927
53.48	43.88	58.27	51.88	0.212	0.103	0.463	52.17	-0.07524	0.064904
58.56	42.68	53.6	51.61	0.202	0.041	0.434	56.64	-0.007463	0.106965
53.8	50.7	56.62	53.71	0.272	0.178	0.528	57.11	0.035593	0.076271
57.56	43.22	51.87	50.88	0.177	0.038	0.417	57.06	0.072047	0.066929
56.48	44.04	50.26	50.26	0.176	0.024	0.416	60.35	-0.55625	0.088542
57.6	47.47	56.07	53.71	0.263	0.139	0.502	54.2	-0.559538	0.075385
57.14	47.62	55.03	53.26	0.223	0.106	0.47	59.01	-0.265426	0.090426
53.49	39.38	51.01	47.96	0.214	0.042	0.447	54.5	-0.539752	0.099379
54.9	48.53	58.82	54.08	0.168	-0.067	0.367	53.71	-0.375862	0.044335
53.66	53.66	60.16	55.83	0.188	0.075	0.441	58.83	-0.392623	0.02459
54.09	41.94	59.8	51.94	0.201	0.059	0.438	59.2	-0.200498	0.087065
62.27	43.09	56.29	53.88	0.247	0.098	0.472	55.8	-0.276653	0.084711
63.27	50.4	46.81	53.49	0.201	0.029	0.43	57.28	-0.809187	0.055966
54.62	55.04	57.14	55.6	0.215	0.123	0.485	49.33	-0.457806	0.059072
56.28	43.72	51.05	50.35	0.207	0.02	0.429	61	-0.238365	0.085954
58.71	45.3	58.54	54.18	0.265	0.173	0.519	51.9	-0.395986	0.073298
45.9	39.34	59.02	48.09	0.281	0.098	0.5	41.58	-0.508333	0.083333
55.94	35.16	67.81	52.97	0.22	0.018	0.432	52.82	-0.5	0.061785
48.36	34.27	58.69	47.1	0.26	0.1	0.485	54.35	-0.521226	0.075472
54.15	46.94	54.37	51.82	0.243	0.102	0.48	59.09	-0.568928	0.09628
56.69	43.66	66.9	55.75	0.277	0.146	0.513	44.32	-0.008834	0.070671
58.1	47.54	50.0	51.88	0.172	-0.02	0.396	58.58	-0.5053	0.091873
56.87	38.34	54.63	49.95	0.174	-0.048	0.374	60.2	-0.199359	0.086538
28.36	47.76	61.19	45.77	0.215	0.178	0.548	61	-0.268182	0.166667
55.68	40.17	53.46	49.77	0.203	0.05	0.432	58.98	-0.191262	0.101248
57.34	42.66	54.35	51.45	0.183	0.04	0.43	57.83	-0.346049	0.059946
60.3	38.69	51.26	50.08	0.185	0.013	0.401	61	-0.226263	0.090909
49.87	45.82	55.44	50.38	0.185	0.041	0.426	58.99	0.319797	0.106599
58.06	37.63	58.06	51.25	0.223	0.062	0.448	56.44	-0.328261	0.076087
61.96	39.49	52.54	51.33	0.19	-0.028	0.392	61	-0.370545	0.061818
54.18	46.68	52.68	51.18	0.246	0.107	0.478	57.65	-0.35515	0.075107
58.93	35.36	53.21	49.17	0.21	-0.055	0.373	58.16	-0.100717	0.086022
53.97	43.56	59.45	52.33	0.194	0.09	0.461	59.1	-0.129396	0.104396
51.26	42.53	56.32	50.04	0.213	0.087	0.466	56.76	0.62788	0.129032
56.93	44.89	48.91	50.24	0.22	-0.002	0.416	55.13	-0.771795	0.047619
60.0	45.2	53.82	53.01	0.204	0.008	0.418	56.34	-0.772313	0.04886
53.82	49.71	56.18	53.24	0.175	-0.012	0.396	60.27	0.261652	0.070796
55.47	43.12	55.47	51.35	0.186	0.067	0.428	60.61	0.540771	0.064909
64.57	40.55	50.79	51.97	0.234	0.037	0.432	56.07	-0.687747	0.027668
58.04	56.25	41.96	52.08	0.192	-0.018	0.435	58.54	-0.441441	0.036036
45.45	55.56	69.7	56.9	0.276	0.158	0.533	48.8	0.027551	0.132653
56.16	51.23	50.74	52.71	0.168	-0.078	0.369	61	-0.258911	0.064356
55.76	47.06	48.94	50.59	0.187	-0.085	0.373	57.55	-0.666274	0.080189
64.13	34.98	59.19	52.77	0.215	-0.064	0.391	54.4	-0.947748	0.031532
56.89	50.53	59.01	55.48	0.201	0.038	0.441	53.54	-0.812411	0.074468
57.47	45.25	55.66	52.79	0.285	0.155	0.528	48.98	-0.424091	0.122727
54.81	46.15	50.64	50.53	0.192	-0.086	0.371	55.79	-0.137621	0.106109
59.62	37.5	42.31	46.47	0.227	0.051	0.43	56.7	-0.148544	0.067961
63.04	53.04	61.3	59.13	0.214	0.076	0.464	52.68	-0.806114	0.026201
62.45	43.67	48.91	51.67	0.163	0.031	0.411	58.44	-0.009211	0.048246
55.24	47.62	52.38	51.75	0.166	-0.023	0.406	60.48	-0.917308	0.057692
61.09	41.43	53.39	51.97	0.232	0.12	0.483	57.93	-0.366888	0.075798
57.88	41.26	58.45	52.53	0.225	0.078	0.449	54.37	-0.131322	0.12069
56.29	42.57	56.57	51.81	0.226	0.089	0.458	54.76	-0.112034	0.120344
60.52	58.72	49.3	56.18	0.191	-0.015	0.397	56.63	-0.462651	0.076305
56.44	44.55	52.97	51.32	0.22	0.071	0.458	60.51	-0.343284	0.109453
63.16	42.11	52.63	52.63	0.266	0.021	0.455	55.12	-1.111789	0.04065
61.02	46.61	52.54	53.39	0.203	0.022	0.417	58.96	-0.374468	0.068085
55.37	46.05	57.06	52.82	0.185	-0.063	0.385	55.15	-0.515298	0.073654
60.22	45.33	49.56	51.7	0.205	0.022	0.442	59.63	-0.626281	0.080178
49.11	46.73	57.44	51.09	0.187	0.064	0.438	58.88	0.19403	0.143284
54.73	41.1	57.39	51.07	0.254	0.105	0.483	55.33	-0.252322	0.111848
56.5	45.84	50.11	50.82	0.204	0.064	0.447	57.9	-0.078205	0.036325
53.23	49.6	54.03	52.28	0.213	0.002	0.431	61	-0.277778	0.084848
55.19	45.23	54.77	51.73	0.194	0.077	0.447	58.24	0.133888	0.08316
49.37	46.2	65.82	53.8	0.287	0.107	0.493	51.34	0.084077	0.095541
57.54	41.34	55.31	51.4	0.221	0.057	0.439	58.95	-0.048508	0.078358
46.57	52.55	57.64	52.26	0.272	0.174	0.53	53.74	-0.111972	0.130282
53.93	44.1	58.71	52.25	0.252	0.161	0.51	52.77	-0.140282	0.076056
65.15	33.33	53.79	50.76	0.311	0.105	0.498	61	-0.5	0.076046
59.19	41.93	58.3	53.14	0.239	0.117	0.483	59.59	-0.370337	0.094382
49.04	60.11	51.98	53.71	0.198	-0.021	0.418	59.4	-0.126018	0.059955
58.19	44.43	52.51	51.71	0.214	0.075	0.452	56.83	-0.229071	0.091803
60.08	34.39	58.89	51.12	0.253	-0.023	0.419	61	-0.399603	0.079365
55.94	47.19	54.37	52.5	0.259	0.135	0.503	57.95	-0.316432	0.106416
58.18	57.27	53.64	56.36	0.226	-0.003	0.415	54.17	0.605505	0.073394
58.59	53.91	54.69	55.73	0.172	0.008	0.411	58.51	-0.375294	0.070588
56.19	53.83	56.97	55.66	0.246	0.163	0.507	52.83	-0.526772	0.082677
56.93	51.5	50.69	53.04	0.209	0.017	0.429	57.84	-0.532486	0.068208
59.59	38.13	51.83	49.85	0.224	0.081	0.455	58.16	0.13524	0.06865
55.24	38.46	51.89	48.53	0.254	0.085	0.466	56.27	-0.084454	0.102241
54.32	41.56	53.5	49.79	0.162	0.003	0.397	56.69	0.208264	0.107438
49.29	51.43	69.29	56.67	0.263	0.127	0.504	52.87	0.486331	0.086331
51.25	42.5	63.75	52.5	0.24	-0.002	0.427	41.5	-0.739241	0.075949
56.09	39.57	50.87	48.84	0.22	0.012	0.421	61	-0.183406	0.091703
51.81	39.9	55.44	49.05	0.261	0.111	0.484	59.58	-0.186234	0.106494
56.95	38.5	55.08	50.18	0.217	0.063	0.447	56.52	-0.356568	0.08311
53.51	44.86	52.43	50.27	0.253	0.112	0.484	57.98	-0.091057	0.089431
57.12	40.55	51.07	49.58	0.241	0.043	0.441	55.91	-0.407813	0.064453
56.23	39.73	51.83	49.27	0.207	0.055	0.444	56.51	-0.305263	0.062424
51.01	40.27	55.03	48.77	0.191	0.055	0.436	53.01	-0.150676	0.094595
55.11	40.05	58.87	51.34	0.265	0.12	0.492	56.89	-0.181941	0.091644
59.26	39.81	50.0	49.69	0.238	0.109	0.465	46.74	0.048598	0.074766
52.6	44.27	47.4	48.09	0.197	0.032	0.437	58.45	-0.587958	0.052356
50.13	43.26	55.22	49.53	0.215	0.017	0.427	58.2	-0.163775	0.086735
53.32	47.13	50.62	50.36	0.195	0.022	0.425	57.98	0.184122	0.091216
56.24	43.58	55.41	51.74	0.195	-0.02	0.405	58.97	-0.578145	0.075298
52.42	53.38	68.6	58.13	0.281	0.239	0.567	38.33	-0.467797	0.096852
52.98	45.96	57.23	52.06	0.218	0.099	0.463	57.45	0.207889	0.123667
50.93	45.33	57.33	51.2	0.175	0.006	0.399	56.95	0.275401	0.109626
55.35	49.85	59.02	54.74	0.232	0.095	0.481	52.48	-0.176687	0.113497
53.35	45.68	54.42	51.15	0.193	0.039	0.422	58.5	0.385019	0.09144
47.83	43.73	57.03	49.53	0.187	0.037	0.432	58.43	0.208718	0.120513
46.7	43.91	56.85	49.15	0.216	0.087	0.463	58.97	0.272265	0.119593
59.32	41.47	51.97	50.92	0.201	0.002	0.409	55.58	-0.559737	0.113158
50.93	45.09	53.32	49.78	0.183	0.086	0.45	60.81	0.318351	0.117021
50.14	45.26	60.98	52.12	0.183	0.072	0.44	59.76	0.334239	0.125
54.76	43.39	59.26	52.47	0.19	0.1	0.453	61	0.297878	0.119363
