GeneID,Total_Codons,A%,T%,G%,C%
Psal_000243,165,13.33,26.67,15.15,44.85
Psal_000244,164,23.78,27.44,20.12,28.66
Psal_000245,174,28.74,16.09,24.71,30.46
Psal_000246,36,22.22,22.22,19.44,36.11
Psal_000247,394,21.32,26.9,21.32,30.46
Psal_000248,210,22.86,24.76,27.62,24.76
Psal_000249,113,21.24,27.43,22.12,29.2
Psal_000250,243,20.16,24.28,23.46,32.1
Psal_000251,50,26.0,14.0,38.0,22.0
Psal_000252,157,30.57,20.38,26.11,22.93
Psal_000253,276,15.94,35.14,18.84,30.07
Psal_000254,153,23.53,21.57,22.88,32.03
Psal_000255,206,22.33,20.39,25.73,31.55
Psal_000256,247,26.32,21.86,17.81,34.01
Psal_000257,157,24.84,26.11,19.75,29.3
Psal_000258,354,19.21,27.12,30.23,23.45
Psal_000259,212,22.17,21.7,23.58,32.55
Psal_000260,319,21.0,24.76,25.71,28.53
Psal_000261,144,23.61,31.25,18.75,26.39
Psal_000262,69,36.23,17.39,21.74,24.64
Psal_000263,55,23.64,18.18,7.27,50.91
Psal_000264,126,26.98,21.43,32.54,19.05
Psal_000265,240,29.17,24.58,18.75,27.5
Psal_000266,106,21.7,22.64,19.81,35.85
Psal_000267,169,20.12,26.04,20.12,33.73
Psal_000268,118,20.34,34.75,10.17,34.75
Psal_000269,182,21.43,25.27,20.33,32.97
Psal_000270,57,26.32,36.84,12.28,24.56
Psal_000271,150,20.67,20.0,24.0,35.33
Psal_000272,147,25.85,28.57,27.89,17.69
Psal_000273,61,31.15,18.03,27.87,22.95
Psal_000274,428,18.93,28.97,23.36,28.74
Psal_000275,200,19.0,23.5,21.0,36.5
Psal_000276,201,17.41,28.86,20.4,33.33
Psal_000277,325,27.69,26.77,23.08,22.46
Psal_000278,112,26.79,25.0,20.54,27.68
Psal_000279,127,20.47,26.77,22.05,30.71
Psal_000280,139,23.74,25.9,24.46,25.9
Psal_000281,206,26.7,19.9,23.79,29.61
Psal_000282,245,25.71,24.49,24.49,25.31
Psal_000283,200,22.5,22.0,24.0,31.5
Psal_000284,562,17.97,25.98,21.0,35.05
Psal_000285,300,21.67,29.67,19.0,29.67
Psal_000286,294,31.29,18.37,25.51,24.83
Psal_000287,299,17.39,26.42,21.74,34.45
Psal_000288,85,21.18,12.94,29.41,36.47
Psal_000289,315,20.63,24.76,27.94,26.67
Psal_000290,355,15.77,29.58,18.87,35.77
Psal_000291,203,17.73,26.11,20.2,35.96
Psal_000292,120,19.17,30.83,23.33,26.67
Psal_000293,242,20.25,21.49,32.64,25.62
Psal_000294,554,21.48,25.09,23.65,29.78
Psal_000295,540,17.04,29.26,24.26,29.44
Psal_000296,119,25.21,19.33,25.21,30.25
Psal_000297,370,17.84,31.62,24.86,25.68
Psal_000298,74,21.62,29.73,20.27,28.38
Psal_000299,175,26.29,22.86,27.43,23.43
Psal_000300,330,18.48,31.21,19.09,31.21
Psal_000301,540,20.56,31.11,22.59,25.74
Psal_000302,250,21.2,26.4,21.2,31.2
Psal_000303,377,18.57,32.36,20.42,28.65
Psal_000304,147,17.69,29.93,22.45,29.93
Psal_000305,90,20.0,16.67,27.78,35.56
Psal_000306,35,22.86,20.0,45.71,11.43
Psal_000307,119,19.33,26.89,23.53,30.25
Psal_000308,202,19.8,27.72,23.76,28.71
Psal_000309,202,24.26,22.77,23.27,29.7
Psal_000310,206,19.42,32.04,25.24,23.3
Psal_000311,283,15.55,33.57,24.03,26.86
Psal_000312,446,30.72,18.83,26.68,23.77
Psal_000313,78,23.08,28.21,21.79,26.92
Psal_000314,193,24.87,17.1,33.16,24.87
Psal_000315,64,17.19,42.19,20.31,20.31
Psal_000316,106,31.13,20.75,16.98,31.13
Psal_000317,220,19.55,27.27,24.55,28.64
Psal_000318,552,18.48,31.7,23.91,25.91
Psal_000319,601,24.29,22.46,21.96,31.28
Psal_000320,259,8.49,28.19,9.65,53.67
Psal_000321,284,20.07,23.24,26.06,30.63
Psal_000322,232,22.84,23.28,26.29,27.59
Psal_000323,200,16.5,28.5,17.0,38.0
Psal_000324,663,22.02,25.04,26.7,26.24
Psal_000325,224,23.66,18.3,29.02,29.02
Psal_000326,228,18.42,24.56,28.51,28.51
Psal_000327,204,27.94,23.53,23.53,25.0
Psal_000328,232,23.71,26.72,25.86,23.71
Psal_000329,226,17.7,23.89,28.76,29.65
Psal_000330,235,24.26,21.28,28.09,26.38
Psal_000331,200,20.5,26.0,25.0,28.5
Psal_000332,605,23.31,27.44,19.67,29.59
Psal_000333,591,24.03,23.01,27.07,25.89
Psal_000334,306,31.05,20.26,25.82,22.88
Psal_000335,545,23.85,26.97,21.83,27.34
Psal_000336,75,12.0,21.33,26.67,40.0
Psal_000337,158,30.38,26.58,19.62,23.42
Psal_000338,766,21.8,26.11,24.41,27.68
Psal_000339,113,15.04,24.78,33.63,26.55
Psal_000340,517,21.08,25.34,27.08,26.5
Psal_000341,778,21.21,26.86,24.68,27.25
Psal_000342,177,20.9,27.68,22.03,29.38
Psal_000343,731,22.71,26.68,24.49,26.13
Psal_000344,511,22.11,26.42,18.59,32.88
Psal_000345,343,17.78,29.45,19.83,32.94
Psal_000346,91,24.18,25.27,25.27,25.27
Psal_000347,967,18.3,25.75,37.23,18.72
Psal_000348,279,19.71,24.73,26.52,29.03
Psal_000349,330,15.45,25.45,35.45,23.64
Psal_000350,762,24.93,25.85,22.44,26.77
Psal_000351,755,20.79,27.95,21.85,29.4
Psal_000352,164,23.17,26.22,18.9,31.71
Psal_000353,296,22.64,28.38,22.97,26.01
Psal_000354,179,16.76,24.02,20.67,38.55
Psal_000355,150,20.0,23.33,26.0,30.67
Psal_000356,475,23.37,22.95,25.89,27.79
Psal_000357,142,17.61,21.83,27.46,33.1
Psal_000358,290,17.59,30.34,24.14,27.93
Psal_000359,588,22.96,26.19,23.98,26.87
Psal_000360,397,16.62,25.44,27.96,29.97
Psal_000361,41,12.2,21.95,31.71,34.15
Psal_000362,86,26.74,19.77,30.23,23.26
Psal_000363,588,22.96,26.19,23.98,26.87
Psal_000364,289,17.65,30.45,24.22,27.68
Psal_000365,150,18.0,23.33,26.67,32.0
Psal_000366,195,20.0,25.13,28.21,26.67
Psal_000368,359,20.33,27.02,25.91,26.74
Psal_000369,228,15.79,41.67,12.72,29.82
Psal_000370,122,25.41,27.05,20.49,27.05
Psal_000371,359,20.33,27.02,25.91,26.74
Psal_000372,228,15.79,41.67,12.72,29.82
Psal_000373,122,25.41,27.05,20.49,27.05
Psal_000374,711,14.91,33.76,19.69,31.65
Psal_000375,116,13.79,25.86,25.86,34.48
Psal_000376,137,21.9,25.55,24.82,27.74
Psal_000377,173,19.08,27.17,21.97,31.79
Psal_000378,243,13.17,44.44,9.05,33.33
Psal_000379,497,21.73,28.97,21.33,27.97
Psal_000380,286,19.23,27.27,19.58,33.92
Psal_000381,58,24.14,27.59,20.69,27.59
Psal_000382,183,18.03,21.31,24.59,36.07
Psal_000383,176,23.86,23.86,21.02,31.25
Psal_000384,245,16.33,40.41,10.2,33.06
Psal_000385,280,14.64,33.21,19.64,32.5
Psal_000386,67,19.4,28.36,26.87,25.37
Psal_000387,110,25.45,22.73,26.36,25.45
Psal_000388,87,14.94,24.14,12.64,48.28
Psal_000389,232,26.72,23.28,20.69,29.31
Psal_000390,86,11.63,31.4,18.6,38.37
Psal_000391,361,20.78,25.76,24.65,28.81
Psal_000392,352,19.32,28.69,24.72,27.27
Psal_000393,173,12.14,27.17,22.54,38.15
Psal_000394,227,12.33,37.89,17.18,32.6
Psal_000395,220,23.18,29.09,17.73,30.0
Psal_000396,150,16.67,27.33,24.0,32.0
Psal_000397,74,16.22,22.97,24.32,36.49
Psal_000398,78,20.51,33.33,20.51,25.64
Psal_000399,642,20.25,27.1,24.3,28.35
Psal_000400,151,19.21,31.13,23.84,25.83
Psal_000401,325,21.85,27.38,21.85,28.92
Psal_000402,287,19.51,20.91,24.04,35.54
Psal_000403,369,22.49,28.73,25.2,23.58
Psal_000404,101,20.79,29.7,18.81,30.69
Psal_000405,71,19.72,30.99,19.72,29.58
Psal_000406,147,21.09,26.53,22.45,29.93
Psal_000407,155,20.0,20.65,20.65,38.71
Psal_000408,61,18.03,37.7,18.03,26.23
Psal_000409,209,18.18,27.75,16.75,37.32
Psal_000410,205,18.54,27.32,24.39,29.76
Psal_000411,52,17.31,23.08,32.69,26.92
Psal_000412,153,15.03,25.49,23.53,35.95
Psal_000413,138,13.04,31.88,23.19,31.88
Psal_000414,398,24.37,26.88,18.84,29.9
Psal_000415,72,23.61,15.28,25.0,36.11
Psal_000416,537,16.95,28.68,22.16,32.22
Psal_000417,152,21.71,19.08,22.37,36.84
Psal_000418,151,17.22,25.83,23.84,33.11
Psal_000419,207,15.94,27.05,23.19,33.82
Psal_000420,207,18.36,25.12,28.02,28.5
Psal_000421,156,18.59,28.21,20.51,32.69
Psal_000422,75,28.0,30.67,16.0,25.33
Psal_000423,173,25.43,19.65,27.75,27.17
Psal_000424,229,19.21,24.45,21.83,34.5
Psal_000425,118,17.8,22.03,30.51,29.66
Psal_000426,283,21.2,25.09,18.37,35.34
Psal_000427,441,12.7,31.07,27.89,28.34
Psal_000428,600,4.83,37.5,8.83,48.83
Psal_000429,226,22.57,24.34,30.09,23.01
Psal_000430,198,18.69,26.26,20.71,34.34
Psal_000431,205,22.44,26.34,20.49,30.73
Psal_000432,135,15.56,25.93,21.48,37.04
Psal_000433,190,16.84,37.37,17.37,28.42
Psal_000434,726,23.42,25.34,24.24,27.0
Psal_000435,191,17.8,39.27,17.28,25.65
Psal_000436,113,22.12,26.55,23.01,28.32
Psal_000437,187,18.18,35.29,20.32,26.2
Psal_000438,246,9.35,35.37,16.67,38.62
Psal_000439,190,22.11,40.0,15.79,22.11
Psal_000440,48,18.75,39.58,25.0,16.67
Psal_000441,122,22.13,17.21,32.79,27.87
Psal_000442,175,16.57,28.57,24.0,30.86
Psal_000443,477,20.13,25.79,24.32,29.77
Psal_000444,733,22.78,26.88,24.01,26.33
Psal_000445,145,13.79,38.62,22.07,25.52
Psal_000446,327,21.41,28.44,20.18,29.97
Psal_000447,199,15.08,39.2,14.57,31.16
Psal_000448,106,13.21,34.91,19.81,32.08
Psal_000449,171,23.39,27.49,23.39,25.73
Psal_000450,360,18.89,26.39,24.17,30.56
Psal_000451,85,25.88,28.24,20.0,25.88
Psal_000452,484,22.52,25.0,21.9,30.58
Psal_000453,124,19.35,21.77,17.74,41.13
Psal_000454,112,23.21,29.46,17.86,29.46
Psal_000455,124,18.55,20.97,18.55,41.94
Psal_000456,107,15.89,39.25,20.56,24.3
Psal_000457,178,20.79,28.65,26.4,24.16
Psal_000458,342,17.54,24.85,32.16,25.44
Psal_000459,181,21.55,27.07,25.41,25.97
Psal_000460,251,20.72,21.51,27.09,30.68
Psal_000461,274,19.34,28.1,23.72,28.83
Psal_000462,276,20.29,22.1,22.1,35.51
Psal_000463,303,19.14,29.37,18.48,33.0
Psal_000464,113,25.66,16.81,36.28,21.24
Psal_000465,321,19.0,29.28,16.82,34.89
Psal_000466,381,23.62,24.67,21.0,30.71
Psal_000467,265,20.75,28.3,17.74,33.21
Psal_000468,199,19.6,29.15,19.1,32.16
Psal_000469,174,24.14,30.46,22.41,22.99
Psal_000470,318,18.24,27.67,16.98,37.11
Psal_000471,113,25.66,16.81,35.4,22.12
Psal_000472,272,18.38,20.22,20.96,40.44
Psal_000473,305,20.33,25.57,18.36,35.74
Psal_000474,246,22.76,21.54,24.8,30.89
Psal_000475,194,27.32,29.9,20.62,22.16
Psal_000476,176,35.8,17.05,25.57,21.59
Psal_000477,265,21.89,23.4,23.02,31.7
Psal_000478,445,20.67,27.64,22.47,29.21
Psal_000479,73,12.33,27.4,13.7,46.58
Psal_000480,285,18.6,20.35,25.61,35.44
Psal_000481,296,14.86,31.08,33.78,20.27
Psal_000482,104,15.38,26.92,30.77,26.92
Psal_000483,876,21.23,30.82,24.77,23.17
Psal_000484,197,25.38,29.95,14.72,29.95
Psal_000485,126,30.16,21.43,21.43,26.98
Psal_000486,331,20.85,25.68,19.03,34.44
Psal_000487,144,22.22,25.69,22.92,29.17
Psal_000488,797,21.58,28.98,22.96,26.47
Psal_000489,1241,21.92,27.72,20.39,29.98
Psal_000490,143,25.87,34.97,19.58,19.58
Psal_000491,851,23.15,27.97,24.91,23.97
Psal_000492,634,23.5,30.6,19.4,26.5
Psal_000493,107,28.97,20.56,22.43,28.04
Psal_000494,60,28.33,30.0,21.67,20.0
Psal_000495,242,18.6,29.75,14.46,37.19
Psal_000496,239,23.01,26.36,22.18,28.45
Psal_000497,227,22.91,22.03,20.26,34.8
Psal_000498,204,26.47,22.06,19.61,31.86
Psal_000499,242,27.69,25.62,26.03,20.66
Psal_000500,214,27.57,24.3,24.3,23.83
Psal_000501,158,20.25,34.81,21.52,23.42
Psal_000502,231,17.32,25.54,35.93,21.21
Psal_000503,72,11.11,25.0,20.83,43.06
Psal_000504,228,24.56,25.88,24.56,25.0
Psal_000505,380,17.37,30.79,22.89,28.95
Psal_000506,176,14.2,29.55,25.57,30.68
Psal_000507,236,24.15,25.42,19.07,31.36
Psal_000508,66,7.58,30.3,18.18,43.94
Psal_000509,230,24.35,28.26,22.17,25.22
Psal_000510,239,22.18,24.27,22.59,30.96
Psal_000511,138,19.57,23.91,13.04,43.48
Psal_000512,236,19.07,29.66,22.03,29.24
Psal_000513,133,17.29,27.82,27.82,27.07
Psal_000514,808,20.92,27.72,22.4,28.96
Psal_000515,194,28.35,26.8,19.59,25.26
Psal_000516,247,14.17,33.6,10.53,41.7
Psal_000517,224,27.23,27.68,18.3,26.79
Psal_000518,113,25.66,14.16,19.47,40.71
Psal_000519,90,22.22,18.89,26.67,32.22
Psal_000520,196,20.41,27.04,27.04,25.51
Psal_000521,84,26.19,15.48,20.24,38.1
Psal_000522,257,28.4,27.24,20.62,23.74
Psal_000523,405,24.69,20.25,25.43,29.63
Psal_000524,297,17.51,29.97,16.5,36.03
Psal_000525,302,21.85,23.51,24.83,29.8
Psal_000526,59,25.42,16.95,18.64,38.98
Psal_000527,43,13.95,30.23,20.93,34.88
Psal_000528,498,16.06,24.1,29.12,30.72
Psal_000529,159,32.08,18.87,20.75,28.3
Psal_000530,47,23.4,17.02,34.04,25.53
Psal_000531,174,21.26,21.26,31.03,26.44
Psal_000532,825,17.58,32.73,19.52,30.18
Psal_000533,356,16.29,26.69,23.88,33.15
Psal_000534,337,17.21,26.11,28.49,28.19
Psal_000535,320,21.25,26.25,21.25,31.25
Psal_000536,238,21.01,22.69,26.05,30.25
Psal_000537,218,24.31,30.28,22.48,22.94
Psal_000538,221,19.91,30.77,15.38,33.94
Psal_000539,141,20.57,18.44,23.4,37.59
Psal_000540,138,18.84,28.99,26.09,26.09
Psal_000541,215,23.72,29.3,22.79,24.19
Psal_000542,136,21.32,13.97,36.03,28.68
Psal_000543,110,20.0,36.36,15.45,28.18
Psal_000544,206,18.45,21.36,24.27,35.92
Psal_000545,330,23.94,23.33,25.15,27.58
Psal_000546,139,25.9,23.74,17.27,33.09
Psal_000547,1088,18.66,28.86,21.78,30.7
Psal_000548,246,21.54,28.46,29.27,20.73
Psal_000549,625,19.04,27.52,27.68,25.76
Psal_000550,112,18.75,29.46,22.32,29.46
Psal_000551,157,22.29,29.94,23.57,24.2
Psal_000552,342,22.22,27.49,17.54,32.75
Psal_000553,515,25.24,25.83,23.11,25.83
Psal_000554,452,23.01,30.75,21.02,25.22
Psal_000555,295,18.98,26.78,26.1,28.14
Psal_000556,209,26.32,30.62,24.4,18.66
Psal_000557,465,22.8,29.46,28.82,18.92
Psal_000558,299,26.42,24.08,17.06,32.44
Psal_000559,317,22.4,27.44,17.98,32.18
Psal_000560,843,20.17,30.72,22.78,26.33
Psal_000561,476,15.34,35.08,17.02,32.56
Psal_000562,526,15.97,26.81,26.62,30.61
Psal_000563,42,26.19,26.19,11.9,35.71
